FullName;Age;PhotoUrl;Nationality;BestPosition;Club
Lionel Messi;34;https://cdn.sofifa.com/players/158/023/22_60.png;Argentina;RW;Paris Saint-Germain
Robert Lewandowski;32;https://cdn.sofifa.com/players/188/545/22_60.png;Poland;ST;FC Bayern München
C. Ronaldo dos Santos Aveiro;36;https://cdn.sofifa.com/players/020/801/22_60.png;Portugal;ST;Manchester United
Kylian Mbappé;22;https://cdn.sofifa.com/players/231/747/22_60.png;France;ST;Paris Saint-Germain
Jan Oblak;28;https://cdn.sofifa.com/players/200/389/22_60.png;Slovenia;GK;Atlético de Madrid
Kevin De Bruyne;30;https://cdn.sofifa.com/players/192/985/22_60.png;Belgium;CM;Manchester City
Neymar da Silva Santos Jr.;29;https://cdn.sofifa.com/players/190/871/22_60.png;Brazil;LW;Paris Saint-Germain
N'Golo Kanté;30;https://cdn.sofifa.com/players/215/914/22_60.png;France;CDM;Chelsea
Harry Kane;27;https://cdn.sofifa.com/players/202/126/22_60.png;England;ST;Tottenham Hotspur
Marc-André ter Stegen;29;https://cdn.sofifa.com/players/192/448/22_60.png;Germany;GK;FC Barcelona
Manuel Neuer;35;https://cdn.sofifa.com/players/167/495/22_60.png;Germany;GK;FC Bayern München
Heung Min Son;28;https://cdn.sofifa.com/players/200/104/22_60.png;Korea Republic;LM;Tottenham Hotspur
Carlos Henrique Venancio Casimiro;29;https://cdn.sofifa.com/players/200/145/22_60.png;Brazil;CDM;Real Madrid CF
Karim Benzema;33;https://cdn.sofifa.com/players/165/153/22_60.png;France;CF;Real Madrid CF
Thibaut Courtois;29;https://cdn.sofifa.com/players/192/119/22_60.png;Belgium;GK;Real Madrid CF
Sadio Mané;29;https://cdn.sofifa.com/players/208/722/22_60.png;Senegal;LW;Liverpool
Virgil van Dijk;29;https://cdn.sofifa.com/players/203/376/22_60.png;Netherlands;CB;Liverpool
Gianluigi Donnarumma;22;https://cdn.sofifa.com/players/230/621/22_60.png;Italy;GK;Paris Saint-Germain
Mohamed Salah;29;https://cdn.sofifa.com/players/209/331/22_60.png;Egypt;RW;Liverpool
Ederson Santana de Moraes;27;https://cdn.sofifa.com/players/210/257/22_60.png;Brazil;GK;Manchester City
Joshua Kimmich;26;https://cdn.sofifa.com/players/212/622/22_60.png;Germany;CDM;FC Bayern München
Alisson Ramses Becker;28;https://cdn.sofifa.com/players/212/831/22_60.png;Brazil;GK;Liverpool
Romelu Lukaku;28;https://cdn.sofifa.com/players/192/505/22_60.png;Belgium;ST;Chelsea
Sergio Ramos García;35;https://cdn.sofifa.com/players/155/862/22_60.png;Spain;CB;Paris Saint-Germain
Luis Suárez;34;https://cdn.sofifa.com/players/176/580/22_60.png;Uruguay;ST;Atlético de Madrid
Toni Kroos;31;https://cdn.sofifa.com/players/182/521/22_60.png;Germany;CM;Real Madrid CF
Erling Haaland;20;https://cdn.sofifa.com/players/239/085/22_60.png;Norway;ST;Borussia Dortmund
Keylor Navas;34;https://cdn.sofifa.com/players/193/041/22_60.png;Costa Rica;GK;Paris Saint-Germain
Bruno Miguel Borges Fernandes;26;https://cdn.sofifa.com/players/212/198/22_60.png;Portugal;CAM;Manchester United
